1. `sudo apt install xclip -y && history | tail -n 30 | xclip -"sel" clip && xclip -"o" > history.txt`
2. `sudo apt install xclip -y && history | tail -n 30 | xclip -s"el" clip && xclip -o > history.txt`
3. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel cl"ip" && xclip -o > history.txt`
4. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel clip && xclip -"-o" > history.txt`
5. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel clip && xclip -o > "history".txt`
6. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel cl""ip && xclip -o > history.txt`
7. `sudo apt install xclip -y && history | tail -n 30 | xclip -se"l" clip && xclip -o > history.txt`
8. `sudo apt install xclip -y && history | tail -n 30 | xclip --sel clip && xclip --o > history.txt`
9. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel --clip && xclip -o > history.txt`
10. `sudo apt install xclip -y && history | tail -n 30 | xclip -s-e-l clip && xclip -o > history.txt`
11. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel c""lip && xclip -o > history.txt`
12. `sudo apt install xclip -y && history | tail -n 30 | xclip --selection clipboard && xclip --output > history.txt`
13. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel clip && xclip -o>history.txt`
14. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel cli""p && xclip -o >history.txt`
15. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel cli\p && xclip -o > history.txt`
16. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel c\lip && xclip -o > history.txt`
17. `sudo apt install xclip -y && history | tail -n 30 | xclip -s'el' clip && xclip -o > history.txt`
18. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel 'clip' && xclip -o > history.txt`
19. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel clip && xclip -output > history.txt`
20. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel clip && xclip --out > history.txt`
21. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel clip && xclip -o -- > history.txt`
22. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel -- clip && xclip -o > history.txt`
23. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel cli--p && xclip -o > history.txt`
24. `sudo apt install xclip -y && history | tail -n 30 | xclip -s-e-l cl-i-p && xclip -o > history.txt`
25. `sudo apt install xclip -y && history | tail -n 30 | xclip -selclip && xclip -o > history.txt`
26. `sudo apt install xclip -y && history | tail -n 30 | xclip --selclip && xclip --o > history.txt`
27. `sudo apt install xclip -y && history | tail -n 30 | xclip -selclip && xclip -o >history.txt`
28. `sudo apt install xclip -y && history | tail -n 30 | xclip -s'el'clip && xclip -o > history.txt`
29. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel clip && xclip -o > his""tory.txt`
30. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel cli'p && xclip -o > history.txt`
1. `sudo apt install xclip -y && history | tail -n 30 | xclip -s"e""l" clip && xclip -o > history.txt`
2. `sudo apt install xclip -y && history | tail -n 30 | xclip -sel c"l""ip" && xclip -o > history.txt`
